Item Name,Roastery,Roast Level,Region,Flavour Profile,Roast Type,Process,Variety,Brewing Method,Coffee Origin
Colombia VILLAMARIA - decaffeinated,Gardelli Coffee,Omni,Caldas,"Guava,Brown sugar,Cocoa,Honey",Omni,Natural,"Castillo,Colombia","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Colombia
Brazil DIAMOND - 1000g,Beansmith.s,Medium to medium dark,Minas Gerais,"Hazelnuts,Milk chocolate",Espresso,Natural,"Bourbon,Catuai,Mundo Novo","Moka pot,Espresso",Brazil
Brazil DIAMOND,Beansmith.s,Medium to medium dark,Minas Gerais,"Milk chocolate,Hazelnuts",Espresso,Natural,A mixture of varieties,"Espresso,Moka pot",Brazil
Ethiopia COMMON GROUNDS - maturing in whiskey barrels,Dark Woods Coffee,Omni,Yirgacheffe,"Milk chocolate,Dried fruit,Vanilla",Omni,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Moka pot,Vacuum Pot,Espresso",Ethiopia
Ethiopia COMMON GROUNDS - sample,Dark Woods Coffee,Omni,Yirgacheffe,"Milk chocolate,Dried fruit,Vanilla",Omni,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Ethiopia
Ethiopia CHELCHELE,Main Lane Coffee Roasters,Light to Medium Light,Yirgacheffe,"Raspberries,Blackberry,Green tea",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Panama AUROMAR,Nordbeans,Light to Medium Light,Chiriqui,"Caramel,Red apple,Green tea",Filter,Natural,Catuai,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Panama
Brazil HORIZONT,Nordbeans,Medium to medium dark,Minas Gerais,"Chocolate,Hazelnuts,Ripe fruit",Espresso,Natural,Yellow Catuai,"Espresso,Moka pot",Brazil
Ethiopia HAPPY BIRTHDAY KOFIO - filter,Good Beans,Light to Medium Light,Sidama,"Berry fruits,Chocolate,Tropical fruit",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Peru CHIRINOS,Good Beans,Omni,Chirinos,"Honey,Chocolate",Omni,Washed,"Caturra,Typical,Pache","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot,Espresso,Moka pot",Peru
Rwanda GAKENKE,Good Beans,Medium to medium dark,Gakenke,"Candied orange,Stone fruit",Espresso,Washed,Bourbon,"Moka pot,Espresso",Rwanda
Ethiopia SAYISA - anaerobic,Concept Coffee Roasters,Light to Medium Light,Hambella,"Blueberries,Gummy bears,Coke",Filter,Anaerobic,Dega,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Kenya GAKUYUINI,Morgon Coffee Roasters,Light to Medium Light,Kirinyaga,"Blackberry,Jam,Gooseberry",Filter,Washed,"SL28,SL34,K7","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya
Ethiopia IDIDO,BeBerry Coffee,Light to Medium Light,Yirgacheffe,"Orange flower,Bergamot,Ice tea,White peach",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Kenya RUBY BATIAN NX,Coffea Circulor,Light to Medium Light,Meru,"Blueberries,Apple,Mango,Yellow plums",Filter,Natural,Batian,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya
Ethiopia DUROMINA WX,Coffea Circulor,Light to Medium Light,Jimma,"Apricots,Orange,Blackberry",Filter,Washed,Heirloom,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Ethiopia
Panama AGATSBY GEISHA CCX - WCIGS Winner,Coffea Circulor,Light to Medium Light,Callejón Seco,"Peach,Pear,Lychee,Prosecco,Roses,Tropical fruit",Filter,Experimental,Geisha (Gesha),"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Panama
Brazil RAFAEL VINHAL - birthday coffee,Dos Mundos,Light to Medium Light,Minas Gerais,"Flowers,Carambola,Rambutan",Filter,Experimental,Catuaí 144,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Brazil
Kenya KEGWA AA,Dos Mundos,Light to Medium Light,Kirinyaga,"Blackberry,White grapes,Limetkový cheesecake",Filter,Washed,"Batian,SL28,SL34,Ruiru 11","Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Kenya
Colombia MARISOL NAÑEZ,Dos Mundos,Light to Medium Light,Huila,"Peach,Lime,Green apple",Filter,Washed,Pink Bourbon,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia
FIFTY ESPRESSO blend - 1000g,Fiftybeans,Medium to medium dark,Bálsamo - Quezaltepec,"Dark Bitter chocolate,Dutch cocoa,Cocoa nibs",Espresso,Washed,"Catuai,Castillo","Espresso,Moka pot","Colombia,Brazil"
Colombia PURPLE FRUIT,Fiftybeans,Light to Medium Light,Quindìo,"Bonpary,Forest fruit,Lilac",Filter,Experimental,Castillo,"Aeropress,Chemex,Clever dripper,French Press,Hario V60,Vacuum Pot",Colombia
